tosquarerank,tosquarefile,piece,COUNT(*),turn
2,6,king,53081,Black
2,6,king,282069,White
2,6,knight,95521,Black
2,6,knight,197310,White
2,6,pawn,129993,Black
2,6,pawn,577909,White
2,6,queen,99901,Black
2,6,queen,205982,White
2,6,rook,78067,Black
2,6,rook,103478,White
2,7,bishop,122279,Black
2,7,bishop,75591,White
2,7,king,31756,Black
2,7,king,145600,White
2,7,knight,36214,Black
2,7,knight,84182,White
2,7,pawn,98683,Black
2,7,pawn,788621,White
2,7,queen,94666,Black
2,7,queen,85662,White
2,7,rook,80984,Black
2,7,rook,73069,White
3,0,bishop,46076,Black
3,0,bishop,80571,White
3,0,king,35473,Black
3,0,king,37182,White
3,0,knight,43509,Black
3,0,knight,128002,White
3,0,pawn,250535,Black
3,0,pawn,567019,White
3,0,queen,62793,Black
3,0,queen,155881,White
3,0,rook,89655,Black
3,0,rook,64769,White
3,1,bishop,306896,Black
3,1,bishop,100579,White
3,1,king,68925,Black
3,1,king,75324,White
3,1,knight,236459,Black
3,1,knight,52434,White
3,1,pawn,379810,Black
3,1,pawn,730604,White
3,1,queen,121597,Black
3,1,queen,90203,White
3,1,rook,88196,Black
3,1,rook,64612,White
3,2,bishop,131492,Black
3,2,bishop,413112,White
3,2,king,84901,Black
3,2,king,108406,White
3,2,knight,231403,Black
3,2,knight,238595,White
3,2,pawn,422612,Black
3,2,pawn,636215,White
3,2,queen,105223,Black
3,2,queen,165200,White
3,2,rook,119634,Black
3,2,rook,84879,White
3,3,bishop,242093,Black
3,3,bishop,234414,White
3,3,king,89808,Black
3,3,king,136293,White
3,3,knight,469428,Black
3,3,knight,519938,White
3,3,pawn,653217,Black
3,3,pawn,706457,White
3,3,queen,218560,Black
3,3,queen,242112,White
3,3,rook,136437,Black
3,3,rook,129992,White
3,4,bishop,224047,Black
3,4,bishop,275584,White
3,4,king,95864,Black
3,4,king,163296,White
3,4,knight,607543,Black
3,4,knight,620930,White
3,4,pawn,557397,Black
3,4,pawn,537688,White
3,4,queen,167664,Black
3,4,queen,231011,White
3,4,rook,133634,Black
3,4,rook,143542,White
3,5,bishop,130314,Black
3,5,bishop,462239,White
3,5,king,99438,Black
3,5,king,172490,White
3,5,knight,235483,Black
3,5,knight,210540,White
3,5,pawn,344075,Black
3,5,pawn,743833,White
3,5,queen,149522,Black
3,5,queen,179513,White
3,5,rook,110413,Black
3,5,rook,115724,White
3,6,bishop,444437,Black
3,6,bishop,122061,White
3,6,king,89318,Black
3,6,king,150576,White
3,6,knight,318551,Black
3,6,knight,116629,White
3,6,pawn,313054,Black
3,6,pawn,706380,White
3,6,queen,133039,Black
3,6,queen,245020,White
3,6,rook,75834,Black
3,6,rook,73924,White
3,7,bishop,83134,Black
3,7,bishop,139295,White
3,7,king,51393,Black
3,7,king,83907,White
3,7,knight,61028,Black
3,7,knight,167833,White
3,7,pawn,230423,Black
3,7,pawn,599412,White
3,7,queen,181515,Black
3,7,queen,111853,White
3,7,rook,73703,Black
3,7,rook,63853,White
4,0,bishop,60984,Black
4,0,bishop,42540,White
4,0,king,41309,Black
4,0,king,33033,White
4,0,knight,139917,Black
4,0,knight,41968,White
4,0,pawn,575343,Black
4,0,pawn,238519,White
4,0,queen,199745,Black
4,0,queen,60471,White
4,0,rook,66227,Black
4,0,rook,86199,White
4,1,bishop,121970,Black
4,1,bishop,330232,White
4,1,king,80857,Black
4,1,king,64480,White
4,1,knight,53704,Black
4,1,knight,268788,White
4,1,pawn,822358,Black
4,1,pawn,361017,White
4,1,queen,92712,Black
4,1,queen,118849,White
4,1,rook,64700,Black
4,1,rook,83110,White
4,2,bishop,356181,Black
4,2,bishop,147420,White
4,2,king,116366,Black
4,2,king,79992,White
