tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,2,queen,81,Black,2400
8,2,queen,8,Black,2600
8,2,queen,81,White,800
8,2,queen,1356,White,1000
8,2,queen,6532,White,1200
8,2,queen,13009,White,1400
8,2,queen,12435,White,1600
8,2,queen,6485,White,1800
8,2,queen,2016,White,2000
8,2,queen,483,White,2200
8,2,queen,49,White,2400
8,2,queen,4,White,2600
8,2,rook,389,Black,800
8,2,rook,8332,Black,1000
8,2,rook,50850,Black,1200
8,2,rook,123713,Black,1400
8,2,rook,130659,Black,1600
8,2,rook,71033,Black,1800
8,2,rook,23414,Black,2000
8,2,rook,5456,Black,2200
8,2,rook,518,Black,2400
8,2,rook,50,Black,2600
8,2,rook,75,White,800
8,2,rook,1757,White,1000
8,2,rook,10755,White,1200
8,2,rook,24617,White,1400
8,2,rook,26252,White,1600
8,2,rook,14608,White,1800
8,2,rook,4807,White,2000
8,2,rook,1127,White,2200
8,2,rook,95,White,2400
8,2,rook,4,White,2600
8,3,bishop,67,Black,800
8,3,bishop,1332,Black,1000
8,3,bishop,8739,Black,1200
8,3,bishop,25258,Black,1400
8,3,bishop,31087,Black,1600
8,3,bishop,17531,Black,1800
8,3,bishop,5729,Black,2000
8,3,bishop,1339,Black,2200
8,3,bishop,125,Black,2400
8,3,bishop,11,Black,2600
8,3,bishop,27,White,800
8,3,bishop,594,White,1000
8,3,bishop,2970,White,1200
8,3,bishop,6710,White,1400
8,3,bishop,7583,White,1600
8,3,bishop,4471,White,1800
8,3,bishop,1481,White,2000
8,3,bishop,355,White,2200
8,3,bishop,25,White,2400
8,3,king,378,Black,800
8,3,king,8217,Black,1000
8,3,king,45210,Black,1200
8,3,king,96111,Black,1400
8,3,king,86204,Black,1600
8,3,king,38704,Black,1800
8,3,king,11626,Black,2000
8,3,king,2495,Black,2200
8,3,king,161,Black,2400
8,3,king,5,Black,2600
8,3,king,19,White,800
8,3,king,268,White,1000
8,3,king,1263,White,1200
8,3,king,2955,White,1400
8,3,king,3130,White,1600
8,3,king,1765,White,1800
8,3,king,644,White,2000
8,3,king,142,White,2200
8,3,king,12,White,2400
8,3,knight,22,Black,800
