MoveNumber,capturedpiece,numcaptures,Skill
200.0,pawn,14,Bad
200.0,pawn,52,Good
200.0,queen,9,Bad
200.0,queen,14,Good
200.0,rook,8,Bad
200.0,rook,22,Good
210.0,bishop,7,Good
210.0,knight,1,Bad
210.0,pawn,4,Bad
210.0,pawn,35,Good
210.0,queen,3,Bad
210.0,queen,5,Good
210.0,rook,4,Bad
210.0,rook,15,Good
220.0,bishop,1,Bad
220.0,bishop,3,Good
220.0,knight,1,Good
220.0,pawn,2,Bad
220.0,pawn,16,Good
220.0,queen,3,Bad
220.0,queen,2,Good
220.0,rook,1,Bad
220.0,rook,6,Good
230.0,bishop,1,Bad
230.0,bishop,2,Good
230.0,knight,2,Good
230.0,pawn,1,Bad
230.0,pawn,2,Good
230.0,queen,2,Good
230.0,rook,4,Good
240.0,bishop,2,Bad
240.0,knight,1,Bad
240.0,pawn,1,Bad
240.0,pawn,3,Good
240.0,queen,1,Bad
240.0,queen,1,Good
240.0,rook,1,Bad
240.0,rook,4,Good
250.0,bishop,2,Bad
250.0,knight,1,Good
250.0,pawn,1,Bad
250.0,pawn,3,Good
250.0,queen,2,Good
260.0,bishop,1,Good
260.0,knight,1,Good
260.0,pawn,4,Good
260.0,rook,2,Good
270.0,pawn,2,Good
