file,rank,piece,COUNT
6,3,queen,383803
6,3,rook,149779
6,4,bishop,888909
6,4,king,239279
6,4,knight,510975
6,4,pawn,1039865
6,4,queen,384180
6,4,rook,147333
6,5,bishop,265758
6,5,king,322533
6,5,knight,320588
6,5,pawn,1217421
6,5,queen,285463
6,5,rook,168350
6,6,bishop,692780
6,6,king,567639
6,6,knight,67591
6,6,pawn,50524
6,6,queen,184026
6,6,rook,202507
6,7,bishop,27272
6,7,king,1737465
6,7,knight,48022
6,7,pawn,19940
6,7,queen,58460
6,7,rook,347580
7,0,bishop,28001
7,0,king,373592
7,0,knight,18817
7,0,pawn,23185
7,0,queen,64251
7,0,rook,186923
7,1,bishop,72299
7,1,king,350683
7,1,knight,96325
7,1,pawn,44617
7,1,queen,97930
7,1,rook,157093
7,2,bishop,202565
7,2,king,177366
7,2,knight,135896
7,2,pawn,994713
7,2,queen,181103
7,2,rook,154409
7,3,bishop,236898
7,3,king,135318
7,3,knight,232423
7,3,pawn,859028
7,3,queen,311109
7,3,rook,137864
7,4,bishop,203956
7,4,king,134647
7,4,knight,256196
7,4,pawn,861769
7,4,queen,353294
7,4,rook,136329
7,5,bishop,296868
7,5,king,181492
7,5,knight,174059
7,5,pawn,990478
7,5,queen,186089
7,5,rook,143908
7,6,bishop,77943
7,6,king,330908
7,6,knight,87748
7,6,pawn,50130
7,6,queen,118997
7,6,rook,171586
7,7,bishop,37897
7,7,king,343580
7,7,knight,30231
7,7,pawn,25406
7,7,queen,76636
7,7,rook,197378
