fromsquarerank,fromsquarefile,piece,COUNT(*)
6,5,bishop,80960
6,5,king,455420
6,5,knight,107252
6,5,pawn,1096467
6,5,queen,169995
6,5,rook,221656
6,6,bishop,417432
6,6,king,445465
6,6,knight,40906
6,6,pawn,970075
6,6,queen,107146
6,6,rook,130589
6,7,bishop,46138
6,7,king,230685
6,7,knight,61872
6,7,pawn,1113839
6,7,queen,74527
6,7,rook,118909
7,0,bishop,31398
7,0,king,27307
7,0,knight,17419
7,0,queen,97429
7,0,rook,1580344
7,1,bishop,24981
7,1,king,114983
7,1,knight,1225442
7,1,queen,89981
7,1,rook,392800
7,2,bishop,1638553
7,2,king,281569
7,2,knight,36830
7,2,queen,138665
7,2,rook,572246
7,3,bishop,61143
7,3,king,182330
7,3,knight,47032
7,3,queen,1941401
7,3,rook,879992
7,4,bishop,50021
7,4,king,2068096
7,4,knight,69857
7,4,queen,148097
7,4,rook,759591
7,5,bishop,1364330
7,5,king,307015
7,5,knight,62919
7,5,queen,90844
7,5,rook,1442242
7,6,bishop,13499
7,6,king,1126603
7,6,knight,914101
7,6,queen,50080
7,6,rook,233406
7,7,bishop,22772
7,7,king,189285
7,7,knight,15397
7,7,queen,70170
7,7,rook,589812
