rank,file,piece,COUNT
6,3,queen,531643
6,3,rook,396473
6,4,bishop,1024747
6,4,king,466889
6,4,knight,672691
6,4,pawn,51020
6,4,queen,641639
6,4,rook,368050
6,5,bishop,167858
6,5,king,534128
6,5,knight,186727
6,5,pawn,51163
6,5,queen,261888
6,5,rook,362869
6,6,bishop,692780
6,6,king,567639
6,6,knight,67591
6,6,pawn,50524
6,6,queen,184026
6,6,rook,202507
6,7,bishop,77943
6,7,king,330908
6,7,knight,87748
6,7,pawn,50130
6,7,queen,118997
6,7,rook,171586
7,0,bishop,59825
7,0,king,45879
7,0,knight,37457
7,0,pawn,31591
7,0,queen,102459
7,0,rook,266720
7,1,bishop,45745
7,1,king,167741
7,1,knight,60742
7,1,pawn,24202
7,1,queen,100009
7,1,rook,534115
7,2,bishop,121735
7,2,king,374993
7,2,knight,63431
7,2,pawn,22958
7,2,queen,164028
7,2,rook,804778
7,3,bishop,103437
7,3,king,224832
7,3,knight,76735
7,3,pawn,21017
7,3,queen,310498
7,3,rook,1036874
7,4,bishop,75584
7,4,king,196632
7,4,knight,98277
7,4,pawn,18255
7,4,queen,190633
7,4,rook,1138809
7,5,bishop,160371
7,5,king,387884
7,5,knight,107120
7,5,pawn,19328
7,5,queen,122588
7,5,rook,518755
7,6,bishop,27272
7,6,king,1737465
7,6,knight,48022
7,6,pawn,19940
7,6,queen,58460
7,6,rook,347580
7,7,bishop,37897
7,7,king,343580
7,7,knight,30231
7,7,pawn,25406
7,7,queen,76636
7,7,rook,197378
