tosquarerank,tosquarefile,piece,COUNT(*)
6,3,queen,518144
6,3,rook,396473
6,4,bishop,822525
6,4,king,463688
6,4,knight,589202
6,4,pawn,50827
6,4,queen,597145
6,4,rook,368048
6,5,bishop,155168
6,5,king,519409
6,5,knight,178881
6,5,pawn,51004
6,5,queen,259022
6,5,rook,362747
6,6,bishop,389712
6,6,king,567380
6,6,knight,67352
6,6,pawn,50074
6,6,queen,183287
6,6,rook,202460
6,7,bishop,77560
6,7,king,330903
6,7,knight,87541
6,7,pawn,50089
6,7,queen,118803
6,7,rook,171316
7,0,bishop,59176
7,0,king,45879
7,0,knight,37453
7,0,pawn,31584
7,0,queen,102155
7,0,rook,266508
7,1,bishop,44942
7,1,king,167741
7,1,knight,56944
7,1,pawn,24201
7,1,queen,99787
7,1,rook,532251
7,2,bishop,120503
7,2,king,374281
7,2,knight,63426
7,2,pawn,22956
7,2,queen,161960
7,2,rook,804566
7,3,bishop,100798
7,3,king,215212
7,3,knight,75479
7,3,pawn,21015
7,3,queen,275283
7,3,rook,1036844
7,4,bishop,75581
7,4,king,194686
7,4,knight,97009
7,4,pawn,18255
7,4,queen,190466
7,4,rook,1138097
7,5,bishop,159003
7,5,king,386395
7,5,knight,107078
7,5,pawn,19326
7,5,queen,122520
7,5,rook,518428
7,6,bishop,26495
7,6,king,1579665
7,6,knight,43226
7,6,pawn,19932
7,6,queen,58255
7,6,rook,345994
7,7,bishop,36855
7,7,king,343547
7,7,knight,30212
7,7,pawn,25395
7,7,queen,75509
7,7,rook,197249
