piece,capturedpiece,COUNT(*),avgrating
queen,pawn,328826,1800
queen,pawn,98855,2000
queen,pawn,21091,2200
queen,pawn,1577,2400
queen,pawn,139,2600
queen,queen,880,800
queen,queen,22424,1000
queen,queen,134120,1200
queen,queen,316586,1400
queen,queen,333854,1600
queen,queen,175281,1800
queen,queen,55572,2000
queen,queen,11954,2200
queen,queen,1006,2400
queen,queen,84,2600
queen,rook,1070,800
queen,rook,18700,1000
queen,rook,87415,1200
queen,rook,183831,1400
queen,rook,183182,1600
queen,rook,94824,1800
queen,rook,29140,2000
queen,rook,6106,2200
queen,rook,486,2400
queen,rook,46,2600
rook,bishop,897,800
rook,bishop,16924,1000
rook,bishop,92446,1200
rook,bishop,213476,1400
rook,bishop,222860,1600
rook,bishop,118765,1800
rook,bishop,37743,2000
rook,bishop,8356,2200
rook,bishop,654,2400
rook,bishop,55,2600
rook,knight,747,800
rook,knight,13469,1000
rook,knight,75182,1200
rook,knight,177172,1400
rook,knight,189889,1600
rook,knight,101999,1800
rook,knight,31704,2000
rook,knight,6819,2200
rook,knight,584,2400
rook,knight,39,2600
rook,pawn,2125,800
rook,pawn,45838,1000
rook,pawn,274786,1200
rook,pawn,639981,1400
rook,pawn,658016,1600
rook,pawn,342937,1800
rook,pawn,111010,2000
rook,pawn,24729,2200
rook,pawn,1966,2400
rook,pawn,169,2600
rook,queen,486,800
rook,queen,9868,1000
rook,queen,57041,1200
rook,queen,139139,1400
rook,queen,152968,1600
rook,queen,82920,1800
rook,queen,26484,2000
rook,queen,5667,2200
rook,queen,485,2400
rook,queen,50,2600
rook,rook,1075,800
rook,rook,28210,1000
rook,rook,196367,1200
rook,rook,520178,1400
rook,rook,605198,1600
rook,rook,331418,1800
rook,rook,105783,2000
rook,rook,22688,2200
rook,rook,1918,2400
rook,rook,169,2600
