tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,2,queen,82,Black,2400
8,2,queen,8,Black,2600
8,2,queen,86,White,800
8,2,queen,1405,White,1000
8,2,queen,6682,White,1200
8,2,queen,13206,White,1400
8,2,queen,12515,White,1600
8,2,queen,6507,White,1800
8,2,queen,2027,White,2000
8,2,queen,484,White,2200
8,2,queen,49,White,2400
8,2,queen,4,White,2600
8,2,rook,443,Black,800
8,2,rook,9328,Black,1000
8,2,rook,55782,Black,1200
8,2,rook,134025,Black,1400
8,2,rook,140898,Black,1600
8,2,rook,77183,Black,1800
8,2,rook,25697,Black,2000
8,2,rook,5985,Black,2200
8,2,rook,564,Black,2400
8,2,rook,52,Black,2600
8,2,rook,75,White,800
8,2,rook,1761,White,1000
8,2,rook,10764,White,1200
8,2,rook,24640,White,1400
8,2,rook,26279,White,1600
8,2,rook,14614,White,1800
8,2,rook,4808,White,2000
8,2,rook,1128,White,2200
8,2,rook,95,White,2400
8,2,rook,4,White,2600
8,3,bishop,75,Black,800
8,3,bishop,1469,Black,1000
8,3,bishop,9443,Black,1200
8,3,bishop,26798,Black,1400
8,3,bishop,32607,Black,1600
8,3,bishop,18332,Black,1800
8,3,bishop,5962,Black,2000
8,3,bishop,1386,Black,2200
8,3,bishop,129,Black,2400
8,3,bishop,11,Black,2600
8,3,bishop,35,White,800
8,3,bishop,674,White,1000
8,3,bishop,3316,White,1200
8,3,bishop,7162,White,1400
8,3,bishop,7868,White,1600
8,3,bishop,4569,White,1800
8,3,bishop,1508,White,2000
8,3,bishop,363,White,2200
8,3,bishop,28,White,2400
8,3,king,473,Black,800
8,3,king,10278,Black,1000
8,3,king,56848,Black,1200
8,3,king,121287,Black,1400
8,3,king,110496,Black,1600
8,3,king,48456,Black,1800
8,3,king,13850,Black,2000
8,3,king,2920,Black,2200
8,3,king,188,Black,2400
8,3,king,6,Black,2600
8,3,king,19,White,800
8,3,king,268,White,1000
8,3,king,1263,White,1200
8,3,king,2955,White,1400
8,3,king,3130,White,1600
8,3,king,1765,White,1800
8,3,king,644,White,2000
8,3,king,142,White,2200
8,3,king,12,White,2400
8,3,knight,22,Black,800
8,3,knight,511,Black,1000
8,3,knight,3203,Black,1200
8,3,knight,8983,Black,1400
8,3,knight,10788,Black,1600
8,3,knight,6271,Black,1800
8,3,knight,2071,Black,2000
8,3,knight,499,Black,2200
8,3,knight,34,Black,2400
8,3,knight,4,Black,2600
8,3,knight,53,White,800
8,3,knight,842,White,1000
8,3,knight,4298,White,1200
8,3,knight,8986,White,1400
8,3,knight,9563,White,1600
8,3,knight,5178,White,1800
8,3,knight,1726,White,2000
8,3,knight,367,White,2200
8,3,knight,32,White,2400
8,3,knight,2,White,2600
8,3,pawn,32,White,800
8,3,pawn,633,White,1000
8,3,pawn,3116,White,1200
8,3,pawn,6715,White,1400
8,3,pawn,6857,White,1600
8,3,pawn,3877,White,1800
8,3,pawn,1396,White,2000
8,3,pawn,306,White,2200
8,3,pawn,24,White,2400
8,3,pawn,2,White,2600
8,3,queen,121,Black,800
8,3,queen,1703,Black,1000
8,3,queen,11191,Black,1200
8,3,queen,29682,Black,1400
8,3,queen,35800,Black,1600
8,3,queen,20073,Black,1800
8,3,queen,6535,Black,2000
8,3,queen,1470,Black,2200
8,3,queen,145,Black,2400
8,3,queen,13,Black,2600
8,3,queen,137,White,800
8,3,queen,1822,White,1000
8,3,queen,8397,White,1200
8,3,queen,17307,White,1400
8,3,queen,16960,White,1600
8,3,queen,9096,White,1800
8,3,queen,2934,White,2000
8,3,queen,590,White,2200
8,3,queen,50,White,2400
8,3,queen,2,White,2600
8,3,rook,428,Black,800
8,3,rook,10093,Black,1000
8,3,rook,66296,Black,1200
8,3,rook,185426,Black,1400
8,3,rook,231193,Black,1600
8,3,rook,135157,Black,1800
8,3,rook,44728,Black,2000
8,3,rook,10688,Black,2200
8,3,rook,943,Black,2400
8,3,rook,96,Black,2600
8,3,rook,104,White,800
8,3,rook,2087,White,1000
8,3,rook,13138,White,1200
8,3,rook,32913,White,1400
8,3,rook,39026,White,1600
8,3,rook,22882,White,1800
8,3,rook,7576,White,2000
8,3,rook,1848,White,2200
8,3,rook,159,White,2400
8,3,rook,14,White,2600
8,4,bishop,40,Black,800
8,4,bishop,958,Black,1000
8,4,bishop,6727,Black,1200
8,4,bishop,18126,Black,1400
8,4,bishop,20797,Black,1600
8,4,bishop,11706,Black,1800
8,4,bishop,3953,Black,2000
8,4,bishop,870,Black,2200
8,4,bishop,93,Black,2400
8,4,bishop,2,Black,2600
8,4,bishop,68,White,800
8,4,bishop,1281,White,1000
8,4,bishop,5724,White,1200
8,4,bishop,12324,White,1400
8,4,bishop,12284,White,1600
8,4,bishop,6188,White,1800
8,4,bishop,1890,White,2000
8,4,bishop,369,White,2200
8,4,bishop,33,White,2400
8,4,bishop,5,White,2600
8,4,king,491,Black,800
8,4,king,9432,Black,1000
8,4,king,39582,Black,1200
8,4,king,70259,Black,1400
8,4,king,58256,Black,1600
8,4,king,27341,Black,1800
8,4,king,8358,Black,2000
8,4,king,1691,Black,2200
8,4,king,131,Black,2400
8,4,king,9,Black,2600
8,4,king,10,White,800
8,4,king,259,White,1000
8,4,king,1179,White,1200
8,4,king,2650,White,1400
