ROUND(ply/10)*10,piece,nummates,Skill
180.0,knight,5,Good
180.0,pawn,5,Bad
180.0,pawn,6,Good
180.0,queen,77,Bad
180.0,queen,59,Good
180.0,rook,48,Bad
180.0,rook,26,Good
190.0,bishop,2,Bad
190.0,bishop,4,Good
190.0,knight,6,Bad
190.0,pawn,3,Bad
190.0,pawn,1,Good
190.0,queen,28,Bad
190.0,queen,29,Good
190.0,rook,45,Bad
190.0,rook,20,Good
200.0,bishop,2,Good
200.0,knight,4,Good
200.0,pawn,2,Good
200.0,queen,22,Bad
200.0,queen,12,Good
200.0,rook,28,Bad
200.0,rook,9,Good
210.0,bishop,1,Bad
210.0,bishop,2,Good
210.0,knight,1,Bad
210.0,pawn,3,Good
210.0,queen,13,Bad
210.0,queen,9,Good
210.0,rook,14,Bad
210.0,rook,7,Good
220.0,queen,7,Bad
220.0,queen,5,Good
220.0,rook,5,Bad
230.0,bishop,1,Bad
230.0,bishop,1,Good
230.0,queen,2,Bad
230.0,queen,5,Good
230.0,rook,8,Bad
230.0,rook,2,Good
240.0,pawn,1,Good
240.0,queen,2,Bad
240.0,queen,1,Good
240.0,rook,4,Bad
240.0,rook,3,Good
250.0,knight,1,Good
250.0,queen,1,Bad
250.0,rook,5,Bad
250.0,rook,2,Good
260.0,queen,1,Bad
260.0,rook,1,Good
280.0,rook,1,Good
290.0,rook,1,Bad
