fromsquarerank,fromsquarefile,piece,COUNT(*)
6,4,rook,242684
6,5,bishop,81021
6,5,king,458277
6,5,knight,107309
6,5,pawn,1277248
6,5,queen,170214
6,5,rook,221657
6,6,bishop,424246
6,6,king,445467
6,6,knight,40907
6,6,pawn,1394138
6,6,queen,107293
6,6,rook,130590
6,7,bishop,46139
6,7,king,230685
6,7,knight,61879
6,7,pawn,1282632
6,7,queen,74530
6,7,rook,118925
7,0,bishop,31571
7,0,king,27307
7,0,knight,17419
7,0,queen,97451
7,0,rook,1584152
7,1,bishop,25017
7,1,king,114983
7,1,knight,2212167
7,1,queen,89985
7,1,rook,392829
7,2,bishop,2164050
7,2,king,281569
7,2,knight,36830
7,2,queen,138789
7,2,rook,572251
7,3,bishop,61226
7,3,king,182570
7,3,knight,47067
7,3,queen,2252487
7,3,rook,879992
7,4,bishop,50021
7,4,king,2255840
7,4,knight,69857
7,4,queen,148103
7,4,rook,759591
7,5,bishop,2241196
7,5,king,307058
7,5,knight,62919
7,5,queen,90844
7,5,rook,1443042
7,6,bishop,13513
7,6,king,1126684
7,6,knight,2228917
7,6,queen,50080
7,6,rook,233467
7,7,bishop,23037
7,7,king,189285
7,7,knight,15397
7,7,queen,70517
7,7,rook,592731
