tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
0,7,queen,2585,White,Good
0,7,rook,10602,Black,Bad
0,7,rook,15960,Black,Good
0,7,rook,15702,White,Bad
0,7,rook,28381,White,Good
1,0,bishop,5312,Black,Bad
1,0,bishop,6984,Black,Good
1,0,bishop,7116,White,Bad
1,0,bishop,10540,White,Good
1,0,king,3342,Black,Bad
1,0,king,4893,Black,Good
1,0,king,7605,White,Bad
1,0,king,10613,White,Good
1,0,knight,5574,Black,Bad
1,0,knight,5023,Black,Good
1,0,knight,3003,White,Bad
1,0,knight,4281,White,Good
1,0,pawn,8694,Black,Bad
1,0,pawn,14285,Black,Good
1,0,queen,15927,Black,Bad
1,0,queen,17368,Black,Good
1,0,queen,3237,White,Bad
1,0,queen,6657,White,Good
1,0,rook,24649,Black,Bad
1,0,rook,43832,Black,Good
1,0,rook,10305,White,Bad
1,0,rook,15941,White,Good
1,1,bishop,13985,Black,Bad
1,1,bishop,20420,Black,Good
1,1,bishop,47526,White,Bad
1,1,bishop,80719,White,Good
1,1,king,5266,Black,Bad
1,1,king,8455,Black,Good
1,1,king,18943,White,Bad
1,1,king,24775,White,Good
1,1,knight,7515,Black,Bad
1,1,knight,9989,Black,Good
1,1,knight,2658,White,Bad
1,1,knight,5342,White,Good
1,1,pawn,8131,Black,Bad
1,1,pawn,14063,Black,Good
1,1,queen,29098,Black,Bad
1,1,queen,29781,Black,Good
1,1,queen,7932,White,Bad
1,1,queen,20074,White,Good
1,1,rook,25212,Black,Bad
1,1,rook,47331,Black,Good
1,1,rook,9467,White,Bad
1,1,rook,19915,White,Good
1,2,bishop,10213,Black,Bad
1,2,bishop,11606,Black,Good
1,2,bishop,14071,White,Bad
1,2,bishop,38710,White,Good
1,2,king,5186,Black,Bad
1,2,king,7928,Black,Good
1,2,king,32118,White,Bad
1,2,king,42747,White,Good
1,2,knight,26540,Black,Bad
1,2,knight,16283,Black,Good
1,2,knight,7143,White,Bad
1,2,knight,16859,White,Good
1,2,pawn,7755,Black,Bad
1,2,pawn,12278,Black,Good
1,2,queen,20234,Black,Bad
1,2,queen,21213,Black,Good
1,2,queen,36244,White,Bad
1,2,queen,108620,White,Good
1,2,rook,25940,Black,Bad
1,2,rook,48241,Black,Good
1,2,rook,13032,White,Bad
1,2,rook,36472,White,Good
1,3,bishop,18641,Black,Bad
1,3,bishop,16738,Black,Good
1,3,bishop,81723,White,Bad
1,3,bishop,97713,White,Good
1,3,king,4218,Black,Bad
1,3,king,6502,Black,Good
1,3,king,54909,White,Bad
1,3,king,63029,White,Good
1,3,knight,15225,Black,Bad
1,3,knight,20872,Black,Good
1,3,knight,96410,White,Bad
1,3,knight,184143,White,Good
1,3,pawn,7214,Black,Bad
1,3,pawn,12834,Black,Good
1,3,queen,17524,Black,Bad
1,3,queen,22677,Black,Good
1,3,queen,59473,White,Bad
1,3,queen,130154,White,Good
1,3,rook,26268,Black,Bad
1,3,rook,47569,Black,Good
1,3,rook,23915,White,Bad
1,3,rook,55948,White,Good
1,4,bishop,15919,Black,Bad
1,4,bishop,20842,Black,Good
1,4,bishop,93320,White,Bad
1,4,bishop,151390,White,Good
1,4,king,4204,Black,Bad
1,4,king,6543,Black,Good
1,4,king,67577,White,Bad
1,4,king,90291,White,Good
1,4,knight,16780,Black,Bad
1,4,knight,20506,Black,Good
1,4,knight,68308,White,Bad
1,4,knight,117590,White,Good
1,4,pawn,5925,Black,Bad
1,4,pawn,11260,Black,Good
1,4,queen,18684,Black,Bad
1,4,queen,20685,Black,Good
1,4,queen,82371,White,Bad
1,4,queen,138868,White,Good
1,4,rook,24417,Black,Bad
1,4,rook,39505,Black,Good
1,4,rook,22849,White,Bad
1,4,rook,53065,White,Good
1,5,bishop,15790,Black,Bad
1,5,bishop,14467,Black,Good
1,5,bishop,7299,White,Bad
1,5,bishop,23584,White,Good
1,5,king,4006,Black,Bad
1,5,king,7093,Black,Good
1,5,king,66341,White,Bad
1,5,king,116108,White,Good
1,5,knight,19773,Black,Bad
1,5,knight,17879,Black,Good
1,5,knight,6068,White,Bad
1,5,knight,13756,White,Good
1,5,pawn,6241,Black,Bad
