ECO,Opening
C89,Ruy Lopez (Spanish opening)
C90,Ruy Lopez (Spanish opening)
C91,Ruy Lopez (Spanish opening)
C92,Ruy Lopez (Spanish opening)
C93,Ruy Lopez (Spanish opening)
C94,Ruy Lopez (Spanish opening)
C95,Ruy Lopez (Spanish opening)
C96,Ruy Lopez (Spanish opening)
C97,Ruy Lopez (Spanish opening)
C98,Ruy Lopez (Spanish opening)
C99,Ruy Lopez (Spanish opening)
D00,Queen's pawn game
D01,Richter-Veresov attack
D02,Queen's pawn game
D03,Torre attack (Tartakower variation)
D04,Queen's pawn game
D05,Queen's pawn game
D06,Queen's Gambit
D07,Queen's Gambit
D08,Queen's Gambit
D09,Queen's Gambit
D10,Queen's Gambit
D11,Queen's Gambit
D12,Queen's Gambit
D13,Queen's Gambit
D14,Queen's Gambit
D15,Queen's Gambit
D16,Queen's Gambit
D17,Queen's Gambit
D18,Queen's Gambit
D19,Queen's Gambit
D20,Queen's Gambit
D21,Queen's Gambit
D22,Queen's Gambit
D23,Queen's Gambit
D24,Queen's Gambit
D25,Queen's Gambit
D26,Queen's Gambit
D27,Queen's Gambit
D28,Queen's Gambit
D29,Queen's Gambit
D30,Queen's Gambit
D31,Queen's Gambit
D32,Queen's Gambit
D33,Queen's Gambit
D34,Queen's Gambit
D35,Queen's Gambit
D36,Queen's Gambit
D37,Queen's Gambit
D38,Queen's Gambit
D39,Queen's Gambit
D40,Queen's Gambit
D41,Queen's Gambit
D42,Queen's Gambit
D43,Queen's Gambit
D44,Queen's Gambit
D45,Queen's Gambit
D46,Queen's Gambit
D47,Queen's Gambit
D48,Queen's Gambit
D49,Queen's Gambit
D50,Queen's Gambit
D51,Queen's Gambit
D52,Queen's Gambit
D53,Queen's Gambit
D54,Queen's Gambit
D55,Queen's Gambit
D56,Queen's Gambit
D57,Queen's Gambit
D58,Queen's Gambit
D59,Queen's Gambit
D60,Queen's Gambit
D61,Queen's Gambit
D62,Queen's Gambit
D63,Queen's Gambit
D64,Queen's Gambit
D65,Queen's Gambit
D66,Queen's Gambit
D67,Queen's Gambit
D68,Queen's Gambit
D69,Queen's Gambit
D70,Neo-Gruenfeld defence
D71,Neo-Gruenfeld defence
D72,Neo-Gruenfeld defence
D73,Neo-Gruenfeld defence
D74,Neo-Gruenfeld defence
D75,Neo-Gruenfeld defence
D76,Neo-Gruenfeld defence
D77,Neo-Gruenfeld defence
D78,Neo-Gruenfeld defence
D79,Neo-Gruenfeld defence
D80,Gruenfeld defence
D81,Gruenfeld defence
D82,Gruenfeld defence
D83,Gruenfeld defence
D84,Gruenfeld defence
D85,Gruenfeld defence
D86,Gruenfeld defence
D87,Gruenfeld defence
D88,Gruenfeld defence
D89,Gruenfeld defence
D90,Gruenfeld defence
D91,Gruenfeld defence
D92,Gruenfeld defence
D93,Gruenfeld defence
D94,Gruenfeld defence
D95,Gruenfeld defence
D96,Gruenfeld defence
D97,Gruenfeld defence
D98,Gruenfeld defence
D99,Gruenfeld defence
E00,Queen's pawn game
E01,"Catalan, closed"
E02,"Catalan, closed"
E03,"Catalan, closed"
E04,"Catalan, closed"
E05,"Catalan, closed"
E06,"Catalan, closed"
E07,"Catalan, closed"
E08,"Catalan, closed"
E09,"Catalan, closed"
E10,Queen's pawn game
E11,Bogo-Indian defence
E12,Queen's Indian defence
E13,Queen's Indian defence
E14,Queen's Indian defence
E15,Queen's Indian defence
E16,Queen's Indian defence
E17,Queen's Indian defence
E18,Queen's Indian defence
E19,Queen's Indian defence
E20,Nimzo-Indian defence
E21,Nimzo-Indian defence
E22,Nimzo-Indian defence
E23,Nimzo-Indian defence
E24,Nimzo-Indian defence
E25,Nimzo-Indian defence
E26,Nimzo-Indian defence
E27,Nimzo-Indian defence
E28,Nimzo-Indian defence
E29,Nimzo-Indian defence
E30,Nimzo-Indian defence
E31,Nimzo-Indian defence
E32,Nimzo-Indian defence
E33,Nimzo-Indian defence
E34,Nimzo-Indian defence
E35,Nimzo-Indian defence
E36,Nimzo-Indian defence
E37,Nimzo-Indian defence
E38,Nimzo-Indian defence
E39,Nimzo-Indian defence
E40,Nimzo-Indian defence
E41,Nimzo-Indian defence
E42,Nimzo-Indian defence
E43,Nimzo-Indian defence
E44,Nimzo-Indian defence
E45,Nimzo-Indian defence
E46,Nimzo-Indian defence
E47,Nimzo-Indian defence
E48,Nimzo-Indian defence
E49,Nimzo-Indian defence
E50,Nimzo-Indian defence
E51,Nimzo-Indian defence
E52,Nimzo-Indian defence
E53,Nimzo-Indian defence
E54,Nimzo-Indian defence
E55,Nimzo-Indian defence
E56,Nimzo-Indian defence
E57,Nimzo-Indian defence
E58,Nimzo-Indian defence
E59,Nimzo-Indian defence
E60,King's Indian defence
E61,King's Indian defence
E62,King's Indian defence
E63,King's Indian defence
E64,King's Indian defence
E65,King's Indian defence
E66,King's Indian defence
E67,King's Indian defence
E68,King's Indian defence
E69,King's Indian defence
E70,King's Indian defence
E71,King's Indian defence
E72,King's Indian defence
E73,King's Indian defence
E74,King's Indian defence
E75,King's Indian defence
E76,King's Indian defence
E77,King's Indian defence
E78,King's Indian defence
E79,King's Indian defence
E80,King's Indian defence
E81,King's Indian defence
E82,King's Indian defence
E83,King's Indian defence
E84,King's Indian defence
E85,King's Indian defence
E86,King's Indian defence
E87,King's Indian defence
E88,King's Indian defence
E89,King's Indian defence
E90,King's Indian defence
E91,King's Indian defence
E92,King's Indian defence
E93,King's Indian defence
E94,King's Indian defence
E95,King's Indian defence
E96,King's Indian defence
E97,King's Indian defence
E98,King's Indian defence
E99,King's Indian defence
